{'loss': 1.701507381008714, 'mode': 'train', 'epoch': 1, 'accuracy': 0.38666}
{'loss': 1.4928108932106359, 'mode': 'test', 'epoch': 1, 'accuracy': 0.4493}
{'loss': 1.2021837340443948, 'mode': 'train', 'epoch': 2, 'accuracy': 0.56658}
{'loss': 1.8669436015900538, 'mode': 'test', 'epoch': 2, 'accuracy': 0.5861}
{'loss': 0.9127246160488917, 'mode': 'train', 'epoch': 3, 'accuracy': 0.67832}
{'loss': 1.1657628627719392, 'mode': 'test', 'epoch': 3, 'accuracy': 0.6912}
{'loss': 0.749766890655089, 'mode': 'train', 'epoch': 4, 'accuracy': 0.73588}
{'loss': 1.2296965936566617, 'mode': 'test', 'epoch': 4, 'accuracy': 0.728}
{'loss': 0.6556041519660167, 'mode': 'train', 'epoch': 5, 'accuracy': 0.77124}
{'loss': 0.7869841974631998, 'mode': 'test', 'epoch': 5, 'accuracy': 0.7557}
{'loss': 0.5484124159492796, 'mode': 'train', 'epoch': 6, 'accuracy': 0.8094}
{'loss': 0.6138943060758005, 'mode': 'test', 'epoch': 6, 'accuracy': 0.7899}
{'loss': 0.47876150147689234, 'mode': 'train', 'epoch': 7, 'accuracy': 0.83392}
{'loss': 0.9107919263232285, 'mode': 'test', 'epoch': 7, 'accuracy': 0.7905}
{'loss': 0.4301651023576026, 'mode': 'train', 'epoch': 8, 'accuracy': 0.85026}
{'loss': 2.8089250785529987, 'mode': 'test', 'epoch': 8, 'accuracy': 0.8012}
{'loss': 0.3876526968939531, 'mode': 'train', 'epoch': 9, 'accuracy': 0.86524}
{'loss': 0.5354519632591562, 'mode': 'test', 'epoch': 9, 'accuracy': 0.8209}
{'loss': 0.3615583087343843, 'mode': 'train', 'epoch': 10, 'accuracy': 0.87574}
{'loss': 0.5041033884712086, 'mode': 'test', 'epoch': 10, 'accuracy': 0.8323}
{'loss': 0.3297862098040183, 'mode': 'train', 'epoch': 11, 'accuracy': 0.88572}
{'loss': 0.4581784237721923, 'mode': 'test', 'epoch': 11, 'accuracy': 0.8495}
{'loss': 0.3019945525357034, 'mode': 'train', 'epoch': 12, 'accuracy': 0.89544}
{'loss': 0.5183731607001301, 'mode': 'test', 'epoch': 12, 'accuracy': 0.8389}
{'loss': 0.2813901776385961, 'mode': 'train', 'epoch': 13, 'accuracy': 0.90228}
{'loss': 0.5616163620903235, 'mode': 'test', 'epoch': 13, 'accuracy': 0.8461}
{'loss': 0.2645355407767895, 'mode': 'train', 'epoch': 14, 'accuracy': 0.90808}
{'loss': 0.46804076831811553, 'mode': 'test', 'epoch': 14, 'accuracy': 0.8464}
{'loss': 0.24726970742463739, 'mode': 'train', 'epoch': 15, 'accuracy': 0.91414}
{'loss': 0.735022325899191, 'mode': 'test', 'epoch': 15, 'accuracy': 0.8547}
{'loss': 0.23869266518679888, 'mode': 'train', 'epoch': 16, 'accuracy': 0.91658}
{'loss': 0.5531352221206495, 'mode': 'test', 'epoch': 16, 'accuracy': 0.8508}
{'loss': 0.22992790387490802, 'mode': 'train', 'epoch': 17, 'accuracy': 0.91916}
{'loss': 0.5201042311586391, 'mode': 'test', 'epoch': 17, 'accuracy': 0.8495}
{'loss': 0.21446329497677438, 'mode': 'train', 'epoch': 18, 'accuracy': 0.92414}
{'loss': 0.40414618159745147, 'mode': 'test', 'epoch': 18, 'accuracy': 0.8674}
{'loss': 0.20903654901020213, 'mode': 'train', 'epoch': 19, 'accuracy': 0.92692}
{'loss': 0.4643758662567016, 'mode': 'test', 'epoch': 19, 'accuracy': 0.8503}
{'loss': 0.1994660591940058, 'mode': 'train', 'epoch': 20, 'accuracy': 0.9299}
{'loss': 0.5420943919070964, 'mode': 'test', 'epoch': 20, 'accuracy': 0.8309}
{'loss': 0.19392704100960212, 'mode': 'train', 'epoch': 21, 'accuracy': 0.93222}
{'loss': 0.49596195919498515, 'mode': 'test', 'epoch': 21, 'accuracy': 0.8513}
{'loss': 0.18678548423778224, 'mode': 'train', 'epoch': 22, 'accuracy': 0.93374}
{'loss': 0.38026612370636825, 'mode': 'test', 'epoch': 22, 'accuracy': 0.8746}
{'loss': 0.18491771314626623, 'mode': 'train', 'epoch': 23, 'accuracy': 0.93596}
{'loss': 0.4087956180428242, 'mode': 'test', 'epoch': 23, 'accuracy': 0.8715}
{'loss': 0.18297010405784686, 'mode': 'train', 'epoch': 24, 'accuracy': 0.93568}
{'loss': 0.44218498326031286, 'mode': 'test', 'epoch': 24, 'accuracy': 0.8542}
{'loss': 0.17564884603709519, 'mode': 'train', 'epoch': 25, 'accuracy': 0.93752}
{'loss': 0.39058889083232096, 'mode': 'test', 'epoch': 25, 'accuracy': 0.8745}
{'loss': 0.1750161382691254, 'mode': 'train', 'epoch': 26, 'accuracy': 0.93874}
{'loss': 0.47982504252035907, 'mode': 'test', 'epoch': 26, 'accuracy': 0.8522}
{'loss': 0.17191265523910063, 'mode': 'train', 'epoch': 27, 'accuracy': 0.94018}
{'loss': 0.3860075710115918, 'mode': 'test', 'epoch': 27, 'accuracy': 0.8783}
{'loss': 0.16800044870952052, 'mode': 'train', 'epoch': 28, 'accuracy': 0.94046}
{'loss': 0.428713690133611, 'mode': 'test', 'epoch': 28, 'accuracy': 0.8667}
{'loss': 0.16577000001831285, 'mode': 'train', 'epoch': 29, 'accuracy': 0.94246}
{'loss': 0.3971163987354109, 'mode': 'test', 'epoch': 29, 'accuracy': 0.8728}
{'loss': 0.15954104398884583, 'mode': 'train', 'epoch': 30, 'accuracy': 0.94448}
{'loss': 0.41596957414772867, 'mode': 'test', 'epoch': 30, 'accuracy': 0.8693}
{'loss': 0.16619436153213082, 'mode': 'train', 'epoch': 31, 'accuracy': 0.9417}
{'loss': 0.4290382457766564, 'mode': 'test', 'epoch': 31, 'accuracy': 0.869}
{'loss': 0.16175390376001983, 'mode': 'train', 'epoch': 32, 'accuracy': 0.94258}
{'loss': 0.3887259405414769, 'mode': 'test', 'epoch': 32, 'accuracy': 0.8778}
{'loss': 0.15511017867728408, 'mode': 'train', 'epoch': 33, 'accuracy': 0.94542}
{'loss': 0.4112637587793314, 'mode': 'test', 'epoch': 33, 'accuracy': 0.8739}
{'loss': 0.1545597537637442, 'mode': 'train', 'epoch': 34, 'accuracy': 0.94536}
{'loss': 0.3945926525600399, 'mode': 'test', 'epoch': 34, 'accuracy': 0.8751}
{'loss': 0.14720909192662707, 'mode': 'train', 'epoch': 35, 'accuracy': 0.94744}
{'loss': 0.3880315438672237, 'mode': 'test', 'epoch': 35, 'accuracy': 0.8845}
{'loss': 0.14748527040547874, 'mode': 'train', 'epoch': 36, 'accuracy': 0.948}
{'loss': 0.416666530072689, 'mode': 'test', 'epoch': 36, 'accuracy': 0.8701}
{'loss': 0.1519192961351875, 'mode': 'train', 'epoch': 37, 'accuracy': 0.94632}
