{'loss': 1.7007273447025764, 'mode': 'train', 'accuracy': 0.38796, 'epoch': 1}
{'loss': 1.5075985223624353, 'mode': 'test', 'accuracy': 0.4659, 'epoch': 1}
{'loss': 1.1475214777547673, 'mode': 'train', 'accuracy': 0.5883, 'epoch': 2}
{'loss': 1.0237990139396327, 'mode': 'test', 'accuracy': 0.6402, 'epoch': 2}
{'loss': 0.8564700453025287, 'mode': 'train', 'accuracy': 0.69832, 'epoch': 3}
{'loss': 0.82860863987048, 'mode': 'test', 'accuracy': 0.7186, 'epoch': 3}
{'loss': 0.6687911291942568, 'mode': 'train', 'accuracy': 0.76562, 'epoch': 4}
{'loss': 0.7498326920399998, 'mode': 'test', 'accuracy': 0.7614, 'epoch': 4}
{'loss': 0.5520611177853613, 'mode': 'train', 'accuracy': 0.80786, 'epoch': 5}
{'loss': 0.5979902190007982, 'mode': 'test', 'accuracy': 0.7973, 'epoch': 5}
{'loss': 0.4681166113566254, 'mode': 'train', 'accuracy': 0.83846, 'epoch': 6}
{'loss': 0.5526944858253382, 'mode': 'test', 'accuracy': 0.8125, 'epoch': 6}
{'loss': 0.4155567596711773, 'mode': 'train', 'accuracy': 0.85718, 'epoch': 7}
{'loss': 0.5236777084268586, 'mode': 'test', 'accuracy': 0.8191, 'epoch': 7}
{'loss': 0.3602934756966506, 'mode': 'train', 'accuracy': 0.87564, 'epoch': 8}
{'loss': 0.44742005598393214, 'mode': 'test', 'accuracy': 0.8488, 'epoch': 8}
{'loss': 0.3306992431564251, 'mode': 'train', 'accuracy': 0.88532, 'epoch': 9}
{'loss': 0.4363572088776119, 'mode': 'test', 'accuracy': 0.8472, 'epoch': 9}
{'loss': 0.30211485800383375, 'mode': 'train', 'accuracy': 0.89438, 'epoch': 10}
{'loss': 0.45789728470289026, 'mode': 'test', 'accuracy': 0.8473, 'epoch': 10}
{'loss': 0.27929461834109026, 'mode': 'train', 'accuracy': 0.90224, 'epoch': 11}
{'loss': 0.38672881597166603, 'mode': 'test', 'accuracy': 0.8666, 'epoch': 11}
{'loss': 0.25351597916554003, 'mode': 'train', 'accuracy': 0.91114, 'epoch': 12}
{'loss': 0.3946147208950322, 'mode': 'test', 'accuracy': 0.8684, 'epoch': 12}
{'loss': 0.24124464427437772, 'mode': 'train', 'accuracy': 0.91608, 'epoch': 13}
{'loss': 0.4179237357750063, 'mode': 'test', 'accuracy': 0.8608, 'epoch': 13}
{'loss': 0.22418475723670592, 'mode': 'train', 'accuracy': 0.92224, 'epoch': 14}
{'loss': 0.39182560311950687, 'mode': 'test', 'accuracy': 0.8765, 'epoch': 14}
{'loss': 0.21766807441897432, 'mode': 'train', 'accuracy': 0.9249, 'epoch': 15}
{'loss': 0.41445253163006657, 'mode': 'test', 'accuracy': 0.8635, 'epoch': 15}
{'loss': 0.20860296659304958, 'mode': 'train', 'accuracy': 0.9266, 'epoch': 16}
{'loss': 0.41642816374256364, 'mode': 'test', 'accuracy': 0.8678, 'epoch': 16}
{'loss': 0.20074465007180592, 'mode': 'train', 'accuracy': 0.92832, 'epoch': 17}
{'loss': 0.3488860415045623, 'mode': 'test', 'accuracy': 0.887, 'epoch': 17}
{'loss': 0.1849651348007761, 'mode': 'train', 'accuracy': 0.93432, 'epoch': 18}
{'loss': 0.39999383659499443, 'mode': 'test', 'accuracy': 0.873, 'epoch': 18}
{'loss': 0.1858967669222439, 'mode': 'train', 'accuracy': 0.93536, 'epoch': 19}
{'loss': 0.3752606924931715, 'mode': 'test', 'accuracy': 0.8773, 'epoch': 19}
{'loss': 0.1832350518154291, 'mode': 'train', 'accuracy': 0.93566, 'epoch': 20}
{'loss': 0.3926180781452521, 'mode': 'test', 'accuracy': 0.873, 'epoch': 20}
{'loss': 0.17237658853954696, 'mode': 'train', 'accuracy': 0.93996, 'epoch': 21}
{'loss': 0.47942085981748667, 'mode': 'test', 'accuracy': 0.8546, 'epoch': 21}
{'loss': 0.17426487599092244, 'mode': 'train', 'accuracy': 0.9395, 'epoch': 22}
{'loss': 0.3993801620260925, 'mode': 'test', 'accuracy': 0.877, 'epoch': 22}
{'loss': 0.16371847742982698, 'mode': 'train', 'accuracy': 0.94266, 'epoch': 23}
{'loss': 0.3626598390709064, 'mode': 'test', 'accuracy': 0.8862, 'epoch': 23}
{'loss': 0.1659521320477473, 'mode': 'train', 'accuracy': 0.94188, 'epoch': 24}
{'loss': 0.4062825002867706, 'mode': 'test', 'accuracy': 0.8707, 'epoch': 24}
{'loss': 0.16165300064227178, 'mode': 'train', 'accuracy': 0.94446, 'epoch': 25}
{'loss': 0.39855439552835614, 'mode': 'test', 'accuracy': 0.8724, 'epoch': 25}
