{'loss': 1.6878023418928965, 'epoch': 1, 'accuracy': 0.39366, 'mode': 'train'}
{'loss': 1.4180713436406138, 'epoch': 1, 'accuracy': 0.4977, 'mode': 'test'}
{'loss': 1.1537952408613763, 'epoch': 2, 'accuracy': 0.58558, 'mode': 'train'}
{'loss': 1.041196934736459, 'epoch': 2, 'accuracy': 0.6441, 'mode': 'test'}
{'loss': 0.8841170792079638, 'epoch': 3, 'accuracy': 0.68794, 'mode': 'train'}
{'loss': 11.027340524895173, 'epoch': 3, 'accuracy': 0.6566, 'mode': 'test'}
{'loss': 0.7457902899102475, 'epoch': 4, 'accuracy': 0.73874, 'mode': 'train'}
{'loss': 0.7769547623054238, 'epoch': 4, 'accuracy': 0.7398, 'mode': 'test'}
{'loss': 0.6367647716456356, 'epoch': 5, 'accuracy': 0.77632, 'mode': 'train'}
{'loss': 0.9578903011835301, 'epoch': 5, 'accuracy': 0.7441, 'mode': 'test'}
{'loss': 0.5637520943075197, 'epoch': 6, 'accuracy': 0.80326, 'mode': 'train'}
{'loss': 0.8507674080171401, 'epoch': 6, 'accuracy': 0.7581, 'mode': 'test'}
{'loss': 0.5041318567436374, 'epoch': 7, 'accuracy': 0.82476, 'mode': 'train'}
{'loss': 0.732868454828384, 'epoch': 7, 'accuracy': 0.7968, 'mode': 'test'}
{'loss': 0.44785956613471695, 'epoch': 8, 'accuracy': 0.84272, 'mode': 'train'}
{'loss': 0.5479633343067895, 'epoch': 8, 'accuracy': 0.8169, 'mode': 'test'}
{'loss': 0.40654291252574626, 'epoch': 9, 'accuracy': 0.85884, 'mode': 'train'}
{'loss': 0.5620520483156685, 'epoch': 9, 'accuracy': 0.8221, 'mode': 'test'}
{'loss': 0.3716294059286947, 'epoch': 10, 'accuracy': 0.8713, 'mode': 'train'}
{'loss': 0.5570676779481257, 'epoch': 10, 'accuracy': 0.824, 'mode': 'test'}
{'loss': 0.34448742169096025, 'epoch': 11, 'accuracy': 0.88036, 'mode': 'train'}
{'loss': 0.8140175183107892, 'epoch': 11, 'accuracy': 0.7746, 'mode': 'test'}
{'loss': 0.32498678763199307, 'epoch': 12, 'accuracy': 0.88762, 'mode': 'train'}
{'loss': 0.5350769910083453, 'epoch': 12, 'accuracy': 0.8411, 'mode': 'test'}
{'loss': 0.29884508675169175, 'epoch': 13, 'accuracy': 0.89606, 'mode': 'train'}
{'loss': 1.0538866677481655, 'epoch': 13, 'accuracy': 0.8162, 'mode': 'test'}
{'loss': 0.28882286142643593, 'epoch': 14, 'accuracy': 0.89938, 'mode': 'train'}
{'loss': 0.6080745608563638, 'epoch': 14, 'accuracy': 0.8125, 'mode': 'test'}
{'loss': 0.2737785367023608, 'epoch': 15, 'accuracy': 0.9028, 'mode': 'train'}
{'loss': 0.43266354567685733, 'epoch': 15, 'accuracy': 0.8521, 'mode': 'test'}
{'loss': 0.25536154588813087, 'epoch': 16, 'accuracy': 0.91162, 'mode': 'train'}
{'loss': 0.457165577609068, 'epoch': 16, 'accuracy': 0.8507, 'mode': 'test'}
{'loss': 0.2415769131249174, 'epoch': 17, 'accuracy': 0.91566, 'mode': 'train'}
{'loss': 0.5411718308356157, 'epoch': 17, 'accuracy': 0.8316, 'mode': 'test'}
{'loss': 0.2281929301979292, 'epoch': 18, 'accuracy': 0.91922, 'mode': 'train'}
{'loss': 0.5226842206754502, 'epoch': 18, 'accuracy': 0.8287, 'mode': 'test'}
{'loss': 0.22288499322369737, 'epoch': 19, 'accuracy': 0.92152, 'mode': 'train'}
{'loss': 0.40844785578691284, 'epoch': 19, 'accuracy': 0.8667, 'mode': 'test'}
{'loss': 0.20818384287073796, 'epoch': 20, 'accuracy': 0.92726, 'mode': 'train'}
{'loss': 0.3998396033124561, 'epoch': 20, 'accuracy': 0.8685, 'mode': 'test'}
{'loss': 0.2014645495359093, 'epoch': 21, 'accuracy': 0.92914, 'mode': 'train'}
{'loss': 0.4011177501765784, 'epoch': 21, 'accuracy': 0.8709, 'mode': 'test'}
{'loss': 0.19438265039659353, 'epoch': 22, 'accuracy': 0.9319, 'mode': 'train'}
{'loss': 0.38241399127017156, 'epoch': 22, 'accuracy': 0.8727, 'mode': 'test'}
{'loss': 0.1836819075943564, 'epoch': 23, 'accuracy': 0.93518, 'mode': 'train'}
{'loss': 0.43507652307391953, 'epoch': 23, 'accuracy': 0.8666, 'mode': 'test'}
{'loss': 0.18599094642454872, 'epoch': 24, 'accuracy': 0.93526, 'mode': 'train'}
{'loss': 0.3897396937297408, 'epoch': 24, 'accuracy': 0.8733, 'mode': 'test'}
{'loss': 0.18007229077046172, 'epoch': 25, 'accuracy': 0.93696, 'mode': 'train'}
{'loss': 0.4833032493568529, 'epoch': 25, 'accuracy': 0.852, 'mode': 'test'}
{'loss': 0.17575007102564158, 'epoch': 26, 'accuracy': 0.93852, 'mode': 'train'}
{'loss': 0.43059357858387515, 'epoch': 26, 'accuracy': 0.8675, 'mode': 'test'}
{'loss': 0.17085249830618537, 'epoch': 27, 'accuracy': 0.9396, 'mode': 'train'}
{'loss': 0.4035677901783568, 'epoch': 27, 'accuracy': 0.8708, 'mode': 'test'}
{'loss': 0.16510102132816448, 'epoch': 28, 'accuracy': 0.94172, 'mode': 'train'}
{'loss': 0.3759245786602332, 'epoch': 28, 'accuracy': 0.8768, 'mode': 'test'}
{'loss': 0.1576653265148937, 'epoch': 29, 'accuracy': 0.94468, 'mode': 'train'}
{'loss': 0.38272928641100634, 'epoch': 29, 'accuracy': 0.8774, 'mode': 'test'}
{'loss': 0.16132679469216524, 'epoch': 30, 'accuracy': 0.94344, 'mode': 'train'}
{'loss': 0.38974595031920495, 'epoch': 30, 'accuracy': 0.8774, 'mode': 'test'}
{'loss': 0.156163436910876, 'epoch': 31, 'accuracy': 0.94556, 'mode': 'train'}
{'loss': 0.39439939057371426, 'epoch': 31, 'accuracy': 0.8767, 'mode': 'test'}
{'loss': 0.15216027187836131, 'epoch': 32, 'accuracy': 0.94668, 'mode': 'train'}
{'loss': 0.35250907453002456, 'epoch': 32, 'accuracy': 0.8852, 'mode': 'test'}
{'loss': 0.15179247764484663, 'epoch': 33, 'accuracy': 0.94728, 'mode': 'train'}
{'loss': 0.4489999884253094, 'epoch': 33, 'accuracy': 0.8617, 'mode': 'test'}
{'loss': 0.15534332335528808, 'epoch': 34, 'accuracy': 0.94518, 'mode': 'train'}
{'loss': 0.45389465384992067, 'epoch': 34, 'accuracy': 0.8641, 'mode': 'test'}
{'loss': 0.14483047370105756, 'epoch': 35, 'accuracy': 0.94972, 'mode': 'train'}
{'loss': 0.36713146741033365, 'epoch': 35, 'accuracy': 0.8839, 'mode': 'test'}
{'loss': 0.1465595526539759, 'epoch': 36, 'accuracy': 0.94834, 'mode': 'train'}
{'loss': 0.3612849863281675, 'epoch': 36, 'accuracy': 0.884, 'mode': 'test'}
{'loss': 0.1488111440444845, 'epoch': 37, 'accuracy': 0.94648, 'mode': 'train'}
{'loss': 0.3958049730700292, 'epoch': 37, 'accuracy': 0.8784, 'mode': 'test'}
{'loss': 0.14151994888301545, 'epoch': 38, 'accuracy': 0.94962, 'mode': 'train'}
{'loss': 0.3892430450031712, 'epoch': 38, 'accuracy': 0.8803, 'mode': 'test'}
{'loss': 0.1447155995537408, 'epoch': 39, 'accuracy': 0.9489, 'mode': 'train'}
{'loss': 0.3529704438558049, 'epoch': 39, 'accuracy': 0.889, 'mode': 'test'}
{'loss': 0.14147455729258337, 'epoch': 40, 'accuracy': 0.9499, 'mode': 'train'}
{'loss': 0.3683332359525049, 'epoch': 40, 'accuracy': 0.8868, 'mode': 'test'}
{'loss': 0.13488899756346825, 'epoch': 41, 'accuracy': 0.953, 'mode': 'train'}
{'loss': 0.41129933658299156, 'epoch': 41, 'accuracy': 0.879, 'mode': 'test'}
{'loss': 0.13718361270320995, 'epoch': 42, 'accuracy': 0.95218, 'mode': 'train'}
{'loss': 0.34767972189150026, 'epoch': 42, 'accuracy': 0.8918, 'mode': 'test'}
{'loss': 0.14174377004546904, 'epoch': 43, 'accuracy': 0.95058, 'mode': 'train'}
{'loss': 0.3832332724408739, 'epoch': 43, 'accuracy': 0.8779, 'mode': 'test'}
{'loss': 0.13233132431726627, 'epoch': 44, 'accuracy': 0.95418, 'mode': 'train'}
{'loss': 0.34930924212287195, 'epoch': 44, 'accuracy': 0.8901, 'mode': 'test'}
{'loss': 0.13750159753786634, 'epoch': 45, 'accuracy': 0.9513, 'mode': 'train'}
{'loss': 0.4319567603005726, 'epoch': 45, 'accuracy': 0.87, 'mode': 'test'}
{'loss': 0.12734805751601458, 'epoch': 46, 'accuracy': 0.95502, 'mode': 'train'}
{'loss': 0.3530826668260964, 'epoch': 46, 'accuracy': 0.8889, 'mode': 'test'}
{'loss': 0.13097982949403392, 'epoch': 47, 'accuracy': 0.95434, 'mode': 'train'}
{'loss': 0.457308367464193, 'epoch': 47, 'accuracy': 0.8651, 'mode': 'test'}
{'loss': 0.12688765973996016, 'epoch': 48, 'accuracy': 0.95584, 'mode': 'train'}
{'loss': 0.3597108416116922, 'epoch': 48, 'accuracy': 0.8855, 'mode': 'test'}
{'loss': 0.1351787410343012, 'epoch': 49, 'accuracy': 0.95264, 'mode': 'train'}
